#options: 640x360 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=11 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=48 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1658 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:34 out:34 type:B dur:2 cpbdur:2 q:12.38 aq:6.22 tex:91317 mv:5354 misc:353 imb:0 pmb:886 smb:34 d:s ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:11.91 aq:7.42 tex:42689 mv:3163 misc:708 imb:0 pmb:764 smb:156 d:s ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:12.85 aq:8.63 tex:28064 mv:2984 misc:864 imb:0 pmb:648 smb:272 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:14.98 aq:6.63 tex:151313 mv:6352 misc:287 imb:80 pmb:815 smb:25 d:s ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:14.15 aq:8.10 tex:55399 mv:5618 misc:631 imb:1 pmb:804 smb:115 d:s ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:13.73 aq:9.48 tex:22629 mv:3152 misc:907 imb:1 pmb:627 smb:292 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:14.57 aq:10.38 tex:16421 mv:2985 misc:946 imb:0 pmb:564 smb:356 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:16.20 aq:7.85 tex:118485 mv:6654 misc:365 imb:118 pmb:763 smb:39 d:s ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:15.59 aq:9.65 tex:34834 mv:5686 misc:760 imb:5 pmb:724 smb:191 d:t ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:15.29 aq:10.92 tex:15005 mv:3009 misc:986 imb:2 pmb:542 smb:376 d:s ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:15.89 aq:11.70 tex:11463 mv:3200 misc:1009 imb:0 pmb:487 smb:433 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:17.04 aq:8.91 tex:98331 mv:6773 misc:352 imb:143 pmb:733 smb:44 d:s ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:16.62 aq:10.70 tex:25789 mv:5984 misc:803 imb:10 pmb:707 smb:203 d:t ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:16.41 aq:12.00 tex:9854 mv:3304 misc:986 imb:0 pmb:498 smb:422 d:s ref:0 ;
